user_id,age,sex,user_lv_cd,user_reg_tm,user_reg_diff
200001,5,2,5,2016-01-26,4526
200002,-1,0,1,2016-01-26,4526
200003,3,1,4,2016-01-26,4526
200004,-1,2,1,2016-01-26,4526
200005,1,0,4,2016-01-26,4526
200006,3,2,2,2013-04-10,3505
200007,3,2,3,2016-01-26,4526
200008,-1,2,3,2016-01-26,4526
200009,3,2,2,2016-01-26,4526
200010,3,2,3,2016-01-26,4526
200011,-1,0,5,2013-04-10,3505
200012,3,2,3,2013-04-10,3505
200013,2,2,4,2013-04-10,3505
200014,2,2,4,2013-04-10,3505
200015,2,1,3,2016-01-26,4526
200016,2,2,3,2016-01-26,4526
200017,3,2,4,2016-01-26,4526
200018,1,2,2,2016-01-26,4526
200019,1,2,2,2016-01-26,4526
200020,-1,2,2,2016-01-26,4526
200021,2,2,2,2016-01-26,4526
200022,2,0,5,2013-04-10,3505
200023,3,2,4,2016-01-26,4526
200024,3,2,3,2016-01-26,4526
200025,4,2,3,2013-04-10,3505
200026,2,2,2,2016-02-04,4535
200027,2,1,5,2013-04-10,3505
200028,1,2,4,2016-01-26,4526
200029,-1,2,2,2016-01-26,4526
200030,-1,2,2,2016-01-26,4526
200031,3,2,3,2016-01-26,4526
200032,3,2,4,2013-04-10,3505
200033,3,2,5,2016-02-02,4533
200034,2,2,4,2016-01-26,4526
200035,3,2,3,2016-01-26,4526
200036,2,2,4,2016-01-26,4526
200037,2,2,5,2013-04-10,3505
200038,2,0,5,2013-04-10,3505
200039,1,2,3,2016-01-26,4526
200040,3,2,2,2016-01-26,4526
200041,1,2,3,2016-01-26,4526
200042,3,2,2,2016-01-26,4526
200043,3,2,3,2016-01-27,4527
200044,3,2,3,2016-01-27,4527
200045,2,2,5,2013-04-10,3505
200046,3,2,3,2016-01-26,4526
200047,1,0,4,2013-04-10,3505
200048,3,2,2,2016-01-27,4527
200049,3,2,3,2013-04-10,3505
200050,2,2,3,2016-01-27,4527
200051,3,2,2,2016-01-27,4527
200052,-1,2,3,2013-04-10,3505
200053,2,2,4,2013-04-10,3505
200054,1,2,5,2013-04-10,3505
200055,3,0,3,2016-01-27,4527
200056,3,2,2,2016-01-27,4527
200057,2,1,4,2013-04-10,3505
