user_id,age,sex,user_lv_cd,browse_num,addcart_num,delcart_num,buy_num,favor_num,click_num,buy_addcart_ratio,buy_browse_ratio,buy_click_ratio,buy_favor_ratio
200001,5,2,5,,,,,,,,,,
200002,-1,0,1,4.0,0.0,0.0,0.0,0.0,12.0,,0.0,0.0,
200003,3,1,4,,,,,,,,,,
200004,-1,2,1,,,,,,,,,,
200005,1,0,4,,,,,,,,,,
200006,3,2,2,,,,,,,,,,
200007,3,2,3,,,,,,,,,,
200008,-1,2,3,,,,,,,,,,
200009,3,2,2,,,,,,,,,,
200010,3,2,3,,,,,,,,,,
200011,-1,0,5,,,,,,,,,,
200012,3,2,3,,,,,,,,,,
200013,2,2,4,,,,,,,,,,
200014,2,2,4,,,,,,,,,,
200015,2,1,3,,,,,,,,,,
200016,2,2,3,,,,,,,,,,
200017,3,2,4,,,,,,,,,,
200018,1,2,2,,,,,,,,,,
200019,1,2,2,,,,,,,,,,
200020,-1,2,2,,,,,,,,,,
200021,2,2,2,,,,,,,,,,
200022,2,0,5,,,,,,,,,,
200023,3,2,4,,,,,,,,,,
200024,3,2,3,,,,,,,,,,
200025,4,2,3,,,,,,,,,,
200026,2,2,2,,,,,,,,,,
200027,2,1,5,,,,,,,,,,
200028,1,2,4,,,,,,,,,,
200029,-1,2,2,,,,,,,,,,
200030,-1,2,2,,,,,,,,,,
200031,3,2,3,,,,,,,,,,
200032,3,2,4,,,,,,,,,,
200033,3,2,5,,,,,,,,,,
200034,2,2,4,,,,,,,,,,
200035,3,2,3,,,,,,,,,,
200036,2,2,4,,,,,,,,,,
200037,2,2,5,,,,,,,,,,
200038,2,0,5,,,,,,,,,,
200039,1,2,3,,,,,,,,,,
200040,3,2,2,,,,,,,,,,
200041,1,2,3,,,,,,,,,,
200042,3,2,2,,,,,,,,,,
200043,3,2,3,,,,,,,,,,
200044,3,2,3,,,,,,,,,,
200045,2,2,5,,,,,,,,,,
200046,3,2,3,,,,,,,,,,
200047,1,0,4,,,,,,,,,,
200048,3,2,2,,,,,,,,,,
200049,3,2,3,,,,,,,,,,
200050,2,2,3,,,,,,,,,,
200051,3,2,2,,,,,,,,,,
200052,-1,2,3,,,,,,,,,,
200053,2,2,4,,,,,,,,,,
200054,1,2,5,,,,,,,,,,
200055,3,0,3,,,,,,,,,,
200056,3,2,2,,,,,,,,,,
200057,2,1,4,,,,,,,,,,
200058,3,2,3,,,,,,,,,,
200059,2,2,5,,,,,,,,,,
200060,3,2,3,,,,,,,,,,
